date,close,open,high,low,volume
1992-01-01,1181.22729492188,1181.22729492188,1204.8518408203176,1157.6027490234424,1000
1992-02-01,1270.75,1181.22729492188,1296.165,1245.335,1000
1992-03-01,1282.02270507813,1270.75,1307.6631591796927,1256.3822509765673,1000
1992-04-01,1317.125,1282.02270507813,1343.4675,1290.7825,1000
1992-05-01,1306.71069335938,1317.125,1332.8449072265676,1280.5764794921924,1000
1992-06-01,1275.27270507813,1306.71069335938,1300.7781591796927,1249.7672509765673,1000
1992-07-01,1314.34790039063,1275.27270507813,1340.6348583984427,1288.0609423828173,1000
1992-08-01,1305.55004882813,1314.34790039063,1331.6610498046925,1279.4390478515675,1000
1992-09-01,1270.21435546875,1305.55004882813,1295.618642578125,1244.810068359375,1000
1992-10-01,1180.84106445313,1270.21435546875,1204.4578857421927,1157.2242431640673,1000
1992-11-01,1162.21435546875,1180.84106445313,1185.458642578125,1138.970068359375,1000
1992-12-01,1209.02380371094,1162.21435546875,1233.2042797851589,1184.8433276367211,1000
1993-01-01,1208.09997558594,1209.02380371094,1232.261975097659,1183.937976074221,1000
1993-02-01,1203.15002441406,1208.09997558594,1227.2130249023412,1179.0870239257788,1000
1993-03-01,1150.47827148438,1203.15002441406,1173.4878369140677,1127.4687060546923,1000
1993-04-01,1110.27502441406,1150.47827148438,1132.4805249023411,1088.0695239257789,1000
1993-05-01,1125.42102050781,1110.27502441406,1147.9294409179663,1102.9126000976537,1000
1993-06-01,1168.09094238281,1125.42102050781,1191.4527612304662,1144.7291235351538,1000
1993-07-01,1203.18176269531,1168.09094238281,1227.245397949216,1179.1181274414039,1000
1993-08-01,1172.76196289063,1203.18176269531,1196.2172021484425,1149.3067236328175,1000
1993-09-01,1116.90905761719,1172.76196289063,1139.2472387695339,1094.5708764648462,1000
1993-10-01,1089.42858886719,1116.90905761719,1111.2171606445338,1067.6400170898462,1000
1993-11-01,1040.02270507813,1089.42858886719,1060.8231591796925,1019.2222509765674,1000
1993-12-01,1091.34997558594,1040.02270507813,1113.176975097659,1069.522976074221,1000
1994-01-01,1170.0,1091.34997558594,1193.4,1146.6,1000
1994-02-01,1270.52502441406,1170.0,1295.9355249023413,1245.1145239257787,1000
1994-03-01,1287.69567871094,1270.52502441406,1313.4495922851588,1261.9417651367212,1000
1994-04-01,1277.28942871094,1287.69567871094,1302.835217285159,1251.743640136721,1000
1994-05-01,1321.04760742188,1277.28942871094,1347.4685595703177,1294.6266552734423,1000
1994-06-01,1402.36364746094,1321.04760742188,1430.4109204101587,1374.3163745117213,1000
1994-07-01,1491.95239257813,1402.36364746094,1521.7914404296926,1462.1133447265674,1000
1994-08-01,1457.06823730469,1491.95239257813,1486.2096020507838,1427.9268725585962,1000
1994-09-01,1571.09094238281,1457.06823730469,1602.5127612304661,1539.6691235351539,1000
1994-10-01,1694.26196289063,1571.09094238281,1728.1472021484426,1660.3767236328174,1000
1994-11-01,1885.88635253906,1694.26196289063,1923.6040795898411,1848.1686254882788,1000
1994-12-01,1878.375,1885.88635253906,1915.9425,1840.8075,1000
1995-01-01,2059.35717773438,1878.375,2100.5443212890677,2018.1700341796923,1000
1995-02-01,1905.44995117188,2059.35717773438,1943.5589501953177,1867.3409521484423,1000
1995-03-01,1799.97827148438,1905.44995117188,1835.9778369140677,1763.9787060546923,1000
1995-04-01,1849.44445800781,1799.97827148438,1886.4333471679663,1812.4555688476537,1000
1995-05-01,1765.47619628906,1849.44445800781,1800.7857202148411,1730.1666723632788,1000
1995-06-01,1775.79541015625,1765.47619628906,1811.311318359375,1740.279501953125,1000
1995-07-01,1867.27502441406,1775.79541015625,1904.6205249023412,1829.9295239257788,1000
1995-08-01,1890.04541015625,1867.27502441406,1927.8463183593751,1852.2445019531249,1000
1995-09-01,1761.72497558594,1890.04541015625,1796.959475097659,1726.490476074221,1000
1995-10-01,1671.95458984375,1761.72497558594,1705.3936816406251,1638.5154980468749,1000
1995-11-01,1655.92858886719,1671.95458984375,1689.0471606445337,1622.8100170898463,1000
1995-12-01,1657.81579589844,1655.92858886719,1690.9721118164089,1624.6594799804711,1000
1996-01-01,1584.47619628906,1657.81579589844,1616.1657202148413,1552.7866723632787,1000
1996-02-01,1594.57141113281,1584.47619628906,1626.4628393554663,1562.6799829101537,1000
1996-03-01,1614.85717773438,1594.57141113281,1647.1543212890676,1582.5600341796924,1000
1996-04-01,1587.40002441406,1614.85717773438,1619.1480249023411,1555.6520239257788,1000
1996-05-01,1593.85717773438,1587.40002441406,1625.7343212890676,1561.9800341796924,1000
1996-06-01,1485.75,1593.85717773438,1515.465,1456.035,1000
1996-07-01,1460.02172851563,1485.75,1489.2221630859426,1430.8212939453174,1000
1996-08-01,1466.78576660156,1460.02172851563,1496.1214819335912,1437.4500512695288,1000
1996-09-01,1405.76196289063,1466.78576660156,1433.8772021484426,1377.6467236328174,1000
1996-10-01,1336.02172851563,1405.76196289063,1362.7421630859426,1309.3012939453174,1000
1996-11-01,1451.04760742188,1336.02172851563,1480.0685595703176,1422.0266552734424,1000
1996-12-01,1500.97619628906,1451.04760742188,1530.9957202148412,1470.9566723632788,1000
1997-01-01,1575.13635253906,1500.97619628906,1606.6390795898412,1543.6336254882788,1000
1997-02-01,1582.05297851563,1575.13635253906,1613.6940380859426,1550.4119189453174,1000
1997-03-01,1631.18420410156,1582.05297851563,1663.8078881835913,1598.5605200195287,1000
1997-04-01,1561.11364746094,1631.18420410156,1592.335920410159,1529.891374511721,1000
1997-05-01,1625.44995117188,1561.11364746094,1657.9589501953176,1592.9409521484424,1000
1997-06-01,1567.1904296875,1625.44995117188,1598.53423828125,1535.84662109375,1000
1997-07-01,1591.5869140625,1567.1904296875,1623.41865234375,1559.75517578125,1000
1997-08-01,1710.02502441406,1591.5869140625,1744.2255249023412,1675.8245239257787,1000
1997-09-01,1611.61901855469,1710.02502441406,1643.8513989257838,1579.3866381835962,1000
1997-10-01,1607.32604980469,1611.61901855469,1639.4725708007838,1575.1795288085962,1000
1997-11-01,1598.32495117188,1607.32604980469,1630.2914501953176,1566.3584521484424,1000
1997-12-01,1530.52380371094,1598.32495117188,1561.134279785159,1499.913327636721,1000
1998-01-01,1485.47497558594,1530.52380371094,1515.1844750976588,1455.7654760742212,1000
1998-02-01,1465.17504882813,1485.47497558594,1494.4785498046926,1435.8715478515674,1000
1998-03-01,1438.31823730469,1465.17504882813,1467.0846020507838,1409.5518725585962,1000
1998-04-01,1417.55004882813,1438.31823730469,1445.9010498046925,1389.1990478515675,1000
1998-05-01,1364.31579589844,1417.55004882813,1391.6021118164088,1337.0294799804713,1000
1998-06-01,1305.52380371094,1364.31579589844,1331.634279785159,1279.413327636721,1000
1998-07-01,1312.66662597656,1305.52380371094,1338.919958496091,1286.4132934570289,1000
1998-08-01,1310.55004882813,1312.66662597656,1336.7610498046927,1284.3390478515673,1000
1998-09-01,1341.88635253906,1310.55004882813,1368.7240795898413,1315.0486254882787,1000
1998-10-01,1303.70458984375,1341.88635253906,1329.778681640625,1277.630498046875,1000
1998-11-01,1295.30004882813,1303.70458984375,1321.2060498046926,1269.3940478515674,1000
1998-12-01,1250.39477539063,1295.30004882813,1275.4026708984427,1225.3868798828173,1000
1999-01-01,1219.40002441406,1250.39477539063,1243.7880249023412,1195.0120239257787,1000
1999-02-01,1186.475,1219.40002441406,1210.2044999999998,1162.7455,1000
1999-03-01,1179.86363636364,1186.475,1203.4609090909128,1156.266363636367,1000
1999-04-01,1277.85,1179.86363636364,1303.407,1252.293,1000
1999-05-01,1323.13157894737,1277.85,1349.5942105263173,1296.6689473684226,1000
1999-06-01,1315.52272727273,1323.13157894737,1341.8331818181846,1289.2122727272754,1000
1999-07-01,1403.36363636364,1315.52272727273,1431.4309090909128,1375.296363636367,1000
1999-08-01,1421.69047619048,1403.36363636364,1450.1242857142897,1393.2566666666703,1000
1999-09-01,1492.06818181818,1421.69047619048,1521.9095454545436,1462.2268181818163,1000
1999-10-01,1473.33333333333,1492.06818181818,1502.7999999999968,1443.8666666666634,1000
1999-11-01,1472.43181818182,1473.33333333333,1501.8804545454566,1442.9831818181835,1000
1999-12-01,1554.73529411765,1472.43181818182,1585.830000000003,1523.640588235297,1000
2000-01-01,1679.85,1554.73529411765,1713.447,1646.253,1000
2000-02-01,1679.425,1679.85,1713.0135,1645.8365,1000
2000-03-01,1579.64,1679.425,1611.2328000000002,1548.0472,1000
2000-04-01,1458.745,1579.64,1487.9198999999999,1429.5701,1000
2000-05-01,1468.0652173913,1458.745,1497.426521739126,1438.703913043474,1000
2000-06-01,1509.37272727273,1468.0652173913,1539.5601818181844,1479.1852727272753,1000
2000-07-01,1564.37619047619,1509.37272727273,1595.663714285714,1533.088666666666,1000
2000-08-01,1530.3347826087,1564.37619047619,1560.941478260874,1499.7280869565259,1000
2000-09-01,1602.30952380952,1530.3347826087,1634.3557142857105,1570.2633333333295,1000
2000-10-01,1501.24545454545,1602.30952380952,1531.270363636359,1471.220545454541,1000
