date,close,open,high,low,volume
1992-01-01,169.954772949219,169.954772949219,173.3538684082034,166.55567749023461,1000
1992-02-01,177.130599975586,169.954772949219,180.67321197509773,173.58798797607426,1000
1992-03-01,169.350738525391,177.130599975586,172.7377532958988,165.96372375488318,1000
1992-04-01,159.931198120117,169.350738525391,163.12982208251933,156.73257415771465,1000
1992-05-01,149.689117431641,159.931198120117,152.68289978027383,146.69533508300816,1000
1992-06-01,148.665725708008,149.689117431641,151.63904022216818,145.69241119384785,1000
1992-07-01,136.31901550293,148.665725708008,139.0453958129886,133.5926351928714,1000
1992-08-01,128.168487548828,136.31901550293,130.73185729980457,125.60511779785145,1000
1992-09-01,138.735794067383,128.168487548828,141.5105099487307,135.96107818603534,1000
1992-10-01,140.581283569336,138.735794067383,143.39290924072273,137.76965789794926,1000
1992-11-01,147.574188232422,140.581283569336,150.52567199707042,144.62270446777356,1000
1992-12-01,147.827651977539,147.574188232422,150.7842050170898,144.87109893798822,1000
1993-01-01,155.650772094727,147.827651977539,158.76378753662152,152.53775665283246,1000
1993-02-01,148.884384155273,155.650772094727,151.86207183837848,145.90669647216754,1000
1993-03-01,147.899658203125,148.884384155273,150.85765136718751,144.94166503906249,1000
1993-04-01,141.992401123047,147.899658203125,144.83224914550794,139.15255310058603,1000
1993-05-01,136.580810546875,141.992401123047,139.3124267578125,133.8491943359375,1000
1993-06-01,121.81778717041,136.580810546875,124.2541429138182,119.3814314270018,1000
1993-07-01,127.522399902344,121.81778717041,130.07284790039088,124.97195190429713,1000
1993-08-01,129.797012329102,127.522399902344,132.39295257568403,127.20107208251994,1000
1993-09-01,131.294311523438,129.797012329102,133.92019775390676,128.66842529296926,1000
1993-10-01,135.956161499023,131.294311523438,138.67528472900347,133.23703826904256,1000
1993-11-01,146.501602172852,135.956161499023,149.43163421630902,143.57157012939496,1000
1993-12-01,158.645385742188,146.501602172852,161.81829345703179,155.47247802734424,1000
1994-01-01,153.207977294922,158.645385742188,156.27213684082042,150.14381774902355,1000
1994-02-01,147.037521362305,153.207977294922,149.97827178955112,144.09677093505888,1000
1994-03-01,141.04377746582,147.037521362305,143.8646530151364,138.2229019165036,1000
1994-04-01,140.452667236328,141.04377746582,143.26172058105456,137.64361389160146,1000
1994-05-01,140.147354125977,140.452667236328,142.95030120849654,137.34440704345744,1000
1994-06-01,139.304428100586,140.147354125977,142.0905166625977,136.51833953857428,1000
1994-07-01,137.600448608398,139.304428100586,140.35245758056598,134.84843963623004,1000
1994-08-01,146.024124145508,137.600448608398,148.94460662841817,143.10364166259785,1000
1994-09-01,158.785140991211,146.024124145508,161.9608438110352,155.60943817138678,1000
1994-10-01,167.188064575195,158.785140991211,170.5318258666989,163.8443032836911,1000
1994-11-01,161.986770629883,167.188064575195,165.22650604248068,158.74703521728534,1000
1994-12-01,164.62174987793,161.986770629883,167.91418487548862,161.32931488037138,1000
1995-01-01,156.213088989258,164.62174987793,159.33735076904318,153.08882720947284,1000
1995-02-01,154.420104980469,156.213088989258,157.5085070800784,151.3317028808596,1000
1995-03-01,150.385986328125,154.420104980469,153.3937060546875,147.3782666015625,1000
1995-04-01,148.978652954102,150.385986328125,151.95822601318403,145.99907989501995,1000
1995-05-01,158.611557006836,148.978652954102,161.7837881469727,155.43932586669928,1000
1995-06-01,169.98078918457,158.611557006836,173.38040496826142,166.58117340087858,1000
1995-07-01,190.08528137207,169.98078918457,193.8869869995114,186.2835757446286,1000
1995-08-01,184.393295288086,190.08528137207,188.08116119384772,180.70542938232427,1000
1995-09-01,193.671279907227,184.393295288086,197.54470550537152,189.79785430908245,1000
1995-10-01,203.791748046875,193.671279907227,207.8675830078125,199.7159130859375,1000
1995-11-01,204.067321777344,203.791748046875,208.1486682128909,199.98597534179711,1000
1995-12-01,208.924942016602,204.067321777344,213.10344085693404,204.74644317626993,1000
1996-01-01,196.4283016666666,208.924942016602,200.35686769999995,192.49973563333327,1000
1996-02-01,206.166963968254,196.4283016666666,210.2903032476191,202.0436246888889,1000
1996-03-01,205.2571207936508,206.166963968254,209.36226320952383,201.1519783777778,1000
1996-04-01,239.5162157142857,205.2571207936508,244.30654002857142,234.72589139999997,1000
1996-05-01,248.5948682608696,239.5162157142857,253.56676562608698,243.6229708956522,1000
1996-06-01,215.2260275,248.5948682608696,219.53054805,210.92150694999998,1000
1996-07-01,196.3869105797102,215.2260275,200.3146487913044,192.459172368116,1000
1996-08-01,181.4970116666666,196.3869105797102,185.12695189999994,177.86707143333325,1000
1996-09-01,170.9805288888889,181.4970116666666,174.40013946666667,167.56091831111112,1000
1996-10-01,169.5959849275363,170.9805288888889,172.98790462608704,166.20406522898557,1000
1996-11-01,169.2658244444445,169.5959849275363,172.65114093333338,165.8805079555556,1000
1996-12-01,167.8310717460317,169.2658244444445,171.18769318095235,164.47445031111107,1000
1997-01-01,167.7907526086957,167.8310717460317,171.1465676608696,164.4349375565218,1000
1997-02-01,164.1707026666667,167.7907526086957,167.45411672000003,160.88728861333337,1000
1997-03-01,167.7085928571428,164.1707026666667,171.06276471428566,164.35442099999995,1000
1997-04-01,175.5679200000001,167.7085928571428,179.0792784000001,172.0565616000001,1000
1997-05-01,168.402905,175.5679200000001,171.77096310000002,165.0348469,1000
1997-06-01,141.200661904762,168.402905,144.02467514285723,138.37664866666677,1000
1997-07-01,130.408065652174,141.200661904762,133.0162269652175,127.79990433913052,1000
1997-08-01,139.3459815873016,130.408065652174,142.13290121904762,136.55906195555556,1000
1997-09-01,138.239695,139.3459815873016,141.0044889,135.4749011,1000
1997-10-01,136.2071747826087,138.239695,138.93131827826087,133.4830312869565,1000
1997-11-01,135.3820398333332,136.2071747826087,138.0896806299999,132.67439903666653,1000
1997-12-01,129.7291065942029,135.3820398333332,132.32368872608697,127.13452446231884,1000
1998-01-01,127.3502083333333,129.7291065942029,129.89721249999997,124.80320416666663,1000
1998-02-01,128.308884,127.3502083333333,130.87506168000002,125.74270632000001,1000
1998-03-01,128.2353966666667,128.308884,130.80010460000003,125.67068873333336,1000
1998-04-01,118.197695,128.2353966666667,120.5616489,115.8337411,1000
1998-05-01,118.3496006349206,118.197695,120.71659264761902,115.98260862222219,1000
1998-06-01,112.3688133333334,118.3496006349206,114.61618960000008,110.12143706666673,1000
1998-07-01,106.6205353623188,112.3688133333334,108.75294606956518,104.48812465507243,1000
1998-08-01,97.00327999999996,106.6205353623188,98.94334559999996,95.06321439999996,1000
1998-09-01,97.57113666666672,97.00327999999996,99.52255940000005,95.61971393333339,1000
1998-10-01,112.1556682539683,97.57113666666672,114.39878161904767,109.91255488888893,1000
1998-11-01,115.6113226190475,112.1556682539683,117.92354907142845,113.29909616666654,1000
1998-12-01,111.8045874637681,115.6113226190475,114.04067921304346,109.56849571449274,1000
1999-01-01,111.8932134920635,111.8045874637681,114.13107776190476,109.65534922222223,1000
1999-02-01,104.278526,111.8932134920635,106.36409652,102.19295548,1000
1999-03-01,104.5756704347826,104.278526,106.66718384347824,102.48415702608695,1000
1999-04-01,102.3311116666667,104.5756704347826,104.37773390000004,100.28448943333336,1000
1999-05-01,99.61033063492069,102.3311116666667,101.6025372476191,97.61812402222228,1000
1999-06-01,99.94277333333332,99.61033063492069,101.94162879999999,97.94391786666665,1000
1999-07-01,93.01396761904762,99.94277333333332,94.87424697142858,91.15368826666666,1000
1999-08-01,98.0220816666666,93.01396761904762,99.98252329999993,96.06164003333326,1000
1999-09-01,94.79866000000004,98.0220816666666,96.69463320000004,92.90268680000004,1000
1999-10-01,88.55223666666676,94.79866000000004,90.3232814000001,86.78119193333342,1000
1999-11-01,91.67544833333332,88.55223666666676,93.50895729999999,89.84193936666665,1000
1999-12-01,90.43734652173907,91.67544833333332,92.24609345217385,88.6285995913043,1000
2000-01-01,93.6228626666667,90.43734652173907,95.49531992000004,91.75040541333337,1000
2000-02-01,98.16682944444447,93.6228626666667,100.13016603333337,96.20349285555558,1000
2000-03-01,96.3962107246377,98.16682944444447,98.32413493913046,94.46828651014494,1000
2000-04-01,94.43122333333324,96.3962107246377,96.3198477999999,92.54259886666657,1000
2000-05-01,99.11204695652174,94.43122333333324,101.09428789565217,97.1298060173913,1000
2000-06-01,103.366615,99.11204695652174,105.4339473,101.29928269999999,1000
2000-07-01,97.12575888888885,103.366615,99.06827406666663,95.18324371111107,1000
2000-08-01,96.6518188405797,97.12575888888885,98.5848552173913,94.7187824637681,1000
2000-09-01,103.4421701587302,96.6518188405797,105.51101356190482,101.3733267555556,1000
2000-10-01,107.775855,103.4421701587302,109.9313721,105.62033790000001,1000
2000-11-01,105.0367816666666,107.775855,107.13751729999993,102.93604603333327,1000
2000-12-01,113.7400201666666,105.0367816666666,116.01482056999993,111.46521976333327,1000
2001-01-01,109.479425,113.7400201666666,111.6690135,107.2898365,1000
2001-02-01,103.3231906666666,109.479425,105.38965447999993,101.25672685333328,1000
2001-03-01,105.571235,103.3231906666666,107.6826597,103.4598103,1000
2001-04-01,106.1542026984127,105.571235,108.27728675238096,104.03111864444445,1000
2001-05-01,110.7741672463768,106.1542026984127,112.98965059130434,108.55868390144927,1000
2001-06-01,109.4261387301588,110.7741672463768,111.61466150476197,107.23761595555563,1000
2001-07-01,108.3437116666666,109.4261387301588,110.51058589999992,106.17683743333326,1000
2001-08-01,104.2242092753623,108.3437116666666,106.30869346086955,102.13972508985505,1000
2001-09-01,103.176216,104.2242092753623,105.23974032,101.11269168,1000
2001-10-01,104.8312785507247,103.176216,106.9279041217392,102.7346529797102,1000
2001-11-01,106.8015911111111,104.8312785507247,108.93762293333332,104.66555928888887,1000
2001-12-01,104.3703851666666,106.8015911111111,106.45779286999993,102.28297746333325,1000
2002-01-01,106.1891966666667,104.3703851666666,108.31298060000005,104.06541273333336,1000
2002-02-01,103.837602,106.1891966666667,105.91435404,101.76084996,1000
2002-03-01,102.5515736666668,103.837602,104.60260514000014,100.50054219333346,1000
2002-04-01,104.8029583333334,102.5515736666668,106.89901750000006,102.70689916666673,1000
2002-05-01,104.0964052173912,104.8029583333334,106.17833332173902,102.01447711304337,1000
2002-06-01,115.411857,104.0964052173912,117.72009414,113.10361986,1000
2002-07-01,132.6446366666666,115.411857,135.29752939999995,129.99174393333325,1000
2002-08-01,149.6135300000001,132.6446366666666,152.60580060000012,146.6212594000001,1000
2002-09-01,173.3426217460316,149.6135300000001,176.80947418095224,169.87576931111096,1000
2002-10-01,180.0439666666666,173.3426217460316,183.64484599999992,176.44308733333327,1000
2002-11-01,164.2791839682539,180.0439666666666,167.564767647619,160.9936002888888,1000
2002-12-01,149.1959883333333,164.2791839682539,152.17990809999998,146.21206856666663,1000
2003-01-01,140.4832855555555,149.1959883333333,143.29295126666662,137.6736198444444,1000
2003-02-01,141.6565043859649,140.4832855555555,144.4896344736842,138.8233742982456,1000
2003-03-01,129.2458475,141.6565043859649,131.83076445,126.66093054999999,1000
2003-04-01,126.0482736507937,129.2458475,128.56923912380958,123.52730817777783,1000
2003-05-01,131.0524111111111,126.0482736507937,133.6734593333333,128.43136288888888,1000
2003-06-01,118.1571338095238,131.0524111111111,120.52027648571428,115.79399113333332,1000
2003-07-01,115.7759533333333,118.1571338095238,118.09147239999997,113.46043426666664,1000
2003-08-01,133.4844919047619,115.7759533333333,136.15418174285716,130.81480206666666,1000
2003-09-01,130.6499804761905,133.4844919047619,133.26298008571433,128.03698086666668,1000
2003-10-01,130.0566044927537,130.6499804761905,132.65773658260878,127.45547240289864,1000
2003-11-01,141.3470840350877,130.0566044927537,144.17402571578947,138.52014235438594,1000
2003-12-01,145.0674953968254,141.3470840350877,147.9688453047619,142.16614548888887,1000
2004-01-01,147.2896123809525,145.0674953968254,150.23540462857153,144.34382013333345,1000
2004-02-01,141.7338594736842,147.2896123809525,144.5685366631579,138.8991822842105,1000
2004-03-01,142.548725,141.7338594736842,145.3996995,139.69775049999998,1000
2004-04-01,146.0648234920634,142.548725,148.98611996190468,143.14352702222212,1000
2004-05-01,143.1842673684211,146.0648234920634,146.04795271578953,140.32058202105267,1000
2004-06-01,136.8614098412698,143.1842673684211,139.59863803809517,134.1241816444444,1000
2004-07-01,132.387431,136.8614098412698,135.03517962,129.73968237999998,1000
2004-08-01,122.05578,132.387431,124.4968956,119.6146644,1000
2004-09-01,126.8207655,122.05578,129.35718081,124.28435019,1000
2004-10-01,123.0562893650794,126.8207655,125.51741515238098,120.59516357777781,1000
2004-11-01,127.1330866666666,123.0562893650794,129.67574839999995,124.59042493333327,1000
2004-12-01,123.5545730434783,127.1330866666666,126.02566450434787,121.08348158260873,1000
2005-01-01,122.7789621666666,123.5545730434783,125.23454140999993,120.32338292333327,1000
2005-02-01,123.129960877193,122.7789621666666,125.59256009473687,120.66736165964913,1000
