date,open,high,low,close,volume
2024-04-16,1157.25,1163.0,1143.25,1145.0,148376
2024-04-17,1145.0,1155.25,1141.75,1149.5,104230
2024-04-18,1149.0,1149.75,1133.0,1134.25,109349
2024-04-19,1134.0,1153.0,1131.75,1150.5,124590
2024-04-22,1147.75,1167.0,1144.5,1161.0,107395
2024-04-23,1161.0,1169.0,1158.0,1167.5,112266
2024-04-24,1166.5,1177.5,1164.0,1166.0,92302
2024-04-25,1164.75,1166.5,1150.5,1162.75,106684
2024-04-26,1162.25,1164.0,1155.0,1159.5,78879
2024-04-29,1158.5,1171.75,1157.0,1160.75,58269
2024-04-30,1158.75,1163.0,1141.0,1145.5,5743
2024-05-01,1145.0,1156.25,1141.0,1155.75,3404
2024-05-02,1155.75,1200.0,1155.75,1190.0,2408
2024-05-03,1193.0,1202.0,1193.0,1201.75,711
2024-05-06,1197.0,1236.5,1197.0,1234.75,486
2024-05-07,1234.5,1240.5,1230.0,1232.25,51
2024-05-08,1233.5,1233.5,1211.25,1212.75,87
2024-05-09,1216.5,1218.0,1192.5,1192.75,66
2024-05-10,1196.75,1205.0,1195.0,1205.0,82
2024-05-13,1205.5,1205.5,1205.5,1205.5,6
2024-05-14,1199.0,1199.0,1199.0,1199.0,115517
2024-05-15,1215.0,1232.25,1209.5,1213.5,124938
2024-05-16,1214.0,1219.75,1210.0,1216.25,99241
2024-05-17,1216.5,1231.25,1215.25,1228.0,133101
2024-05-20,1227.25,1250.75,1224.0,1248.0,171388
2024-05-21,1246.5,1249.25,1230.0,1236.25,126275
2024-05-22,1235.0,1249.75,1233.25,1246.25,125072
2024-05-23,1245.75,1258.25,1236.0,1239.25,136099
2024-05-24,1239.0,1251.0,1236.0,1248.0,107257
2024-05-28,1250.25,1254.75,1226.25,1229.5,140138
2024-05-29,1229.0,1231.25,1212.5,1214.0,123723
2024-05-30,1213.0,1220.0,1207.25,1209.75,107751
2024-05-31,1209.75,1223.75,1202.75,1205.0,106393
2024-06-03,1204.25,1205.5,1182.5,1184.5,119994
2024-06-04,1184.0,1189.5,1176.0,1179.0,145530
2024-06-05,1180.25,1191.75,1175.25,1177.25,154196
2024-06-06,1176.5,1204.5,1176.0,1200.0,162161
2024-06-07,1200.5,1202.5,1174.25,1179.25,175688
2024-06-10,1179.25,1190.75,1175.5,1188.25,139377
2024-06-11,1188.25,1193.0,1177.0,1178.0,160774
2024-06-12,1177.25,1186.5,1171.0,1177.25,161099
2024-06-13,1177.0,1191.25,1171.0,1189.5,149824
2024-06-14,1188.75,1189.0,1178.0,1179.75,132144
2024-06-17,1179.0,1179.0,1157.5,1157.75,138815
2024-06-18,1158.25,1175.75,1156.5,1174.0,148950
2024-06-20,1173.0,1175.75,1155.0,1155.25,146080
2024-06-21,1156.0,1168.75,1156.0,1160.5,111374
2024-06-24,1160.5,1179.5,1156.25,1175.25,88889
2024-06-25,1175.0,1180.0,1157.75,1163.25,83116
2024-06-26,1163.0,1177.5,1160.0,1162.75,67870
2024-06-27,1161.5,1169.5,1150.75,1152.25,32512
2024-06-28,1152.0,1167.0,1146.25,1150.5,4183
2024-07-01,1148.25,1161.75,1148.25,1159.5,1313
2024-07-02,1159.25,1175.0,1159.25,1165.0,1375
2024-07-03,1162.25,1180.25,1162.0,1176.5,924
2024-07-05,1172.25,1191.5,1172.25,1188.5,812
2024-07-08,1181.75,1181.75,1167.25,1174.25,985
2024-07-09,1177.0,1185.0,1160.0,1161.5,839
2024-07-10,1165.25,1165.25,1135.75,1141.25,698
2024-07-11,1145.0,1145.0,1137.0,1142.75,108
2024-07-12,1134.5,1134.5,1134.5,1134.5,41399
2024-07-15,1100.0,1101.0,1075.75,1078.0,35655
2024-07-16,1076.75,1096.5,1076.75,1090.5,37408
2024-07-17,1090.0,1102.5,1090.0,1097.25,41677
2024-07-18,1097.5,1101.0,1089.0,1098.5,35569
2024-07-19,1098.0,1107.75,1095.0,1097.25,25658
2024-07-22,1100.5,1119.75,1100.5,1117.75,40798
2024-07-23,1116.5,1129.0,1111.0,1117.5,51623
2024-07-24,1115.25,1123.25,1104.5,1111.0,34547
2024-07-25,1111.0,1120.5,1103.5,1116.0,38157
2024-07-26,1113.25,1117.25,1071.5,1077.5,61437
2024-07-29,1073.75,1073.75,1030.75,1054.75,37618
2024-07-30,1054.75,1059.0,1023.75,1027.25,16709
2024-07-31,1027.25,1048.5,1020.5,1028.5,2651
2024-08-01,1030.0,1034.0,1019.5,1022.0,1384
2024-08-02,1022.0,1031.5,1019.0,1029.25,633
2024-08-05,1040.0,1045.0,1021.5,1044.25,64
2024-08-06,1033.0,1038.25,1028.5,1028.5,694
2024-08-07,1020.75,1023.25,1017.25,1020.25,195
2024-08-08,1023.25,1023.25,1009.75,1009.75,172
2024-08-09,1018.0,1028.0,1014.5,1028.0,24
2024-08-12,1020.5,1038.25,1012.0,1012.0,12
2024-08-13,1003.0,1003.0,989.0,989.0,19
2024-08-14,989.5,989.75,979.75,979.75,15972
