date,close,open,high,low,volume
1992-01-01,2150.57962901611,2150.57962901611,2193.591221596432,2107.568036435788,1000
1992-02-01,2208.89225860596,2150.57962901611,2253.070103778079,2164.7144134338405,1000
1992-03-01,2231.78550956421,2208.89225860596,2276.421219755494,2187.149799372926,1000
1992-04-01,2214.16681599274,2231.78550956421,2258.4501523125946,2169.883479672885,1000
1992-05-01,2219.31505581207,2214.16681599274,2263.7013569283117,2174.9287546958285,1000
1992-06-01,2296.44193858643,2219.31505581207,2342.3707773581586,2250.513099814701,1000
1992-07-01,2527.28502240143,2296.44193858643,2577.8307228494587,2476.7393219534015,1000
1992-08-01,2513.46998458252,2527.28502240143,2563.7393842741703,2463.2005848908693,1000
1992-09-01,2419.61418178101,2513.46998458252,2468.00646541663,2371.22189814539,1000
1992-10-01,2262.45696237183,2419.61418178101,2307.7061016192665,2217.207823124393,1000
1992-11-01,2161.78909368286,2262.45696237183,2205.024875556517,2118.5533118092026,1000
1992-12-01,2211.95028749237,2161.78909368286,2256.1892932422174,2167.7112817425227,1000
1993-01-01,2264.21397077332,2211.95028749237,2309.498250188786,2218.9296913578537,1000
1993-02-01,2212.18139313507,2264.21397077332,2256.4250209977713,2167.9377652723683,1000
1993-03-01,2152.38020099945,2212.18139313507,2195.4278050194393,2109.332596979461,1000
1993-04-01,1953.62060192108,2152.38020099945,1992.6930139595015,1914.5481898826583,1000
1993-05-01,1799.35169844818,1953.62060192108,1835.3387324171438,1763.3646644792163,1000
1993-06-01,1857.87070840454,1799.35169844818,1895.0281225726308,1820.7132942364492,1000
1993-07-01,1927.33981992645,1857.87070840454,1965.886616324979,1888.793023527921,1000
1993-08-01,1951.07137548676,1927.33981992645,1990.0928029964953,1912.0499479770247,1000
1993-09-01,1858.24999750519,1951.07137548676,1895.414997455294,1821.0849975550861,1000
1993-10-01,1646.99992897491,1858.24999750519,1679.9399275544083,1614.0599303954118,1000
1993-11-01,1632.56810484467,1646.99992897491,1665.2194669415635,1599.9167427477764,1000
1993-12-01,1723.6250736618,1632.56810484467,1758.0975751350359,1689.152572188564,1000
1994-01-01,1807.07136699066,1723.6250736618,1843.2127943304731,1770.9299396508468,1000
1994-02-01,1865.07501472778,1807.07136699066,1902.3765150223355,1827.7735144332244,1000
1994-03-01,1913.17391866455,1865.07501472778,1951.437397037841,1874.910440291259,1000
1994-04-01,1881.36846713562,1913.17391866455,1918.9958364783324,1843.7410977929076,1000
1994-05-01,2144.50007046051,1881.36846713562,2187.39007186972,2101.6100690513,1000
1994-06-01,2363.09102303009,2144.50007046051,2410.352843490692,2315.829202569488,1000
1994-07-01,2447.23803404999,2363.09102303009,2496.18279473099,2398.29327336899,1000
1994-08-01,2409.74997397766,2447.23803404999,2457.944973457213,2361.5549744981067,1000
1994-09-01,2504.84103139343,2409.74997397766,2554.9378520212986,2454.7442107655615,1000
1994-10-01,2546.02375416412,2504.84103139343,2596.9442292474023,2495.1032790808376,1000
1994-11-01,2803.54541098175,2546.02375416412,2859.616319201385,2747.474502762115,1000
1994-12-01,2980.69999645081,2803.54541098175,3040.313996379826,2921.0859965217937,1000
1995-01-01,3003.26189506836,2980.69999645081,3063.3271329697272,2943.1966571669927,1000
1995-02-01,2870.45015814514,3003.26189506836,2927.859161308043,2813.041154982237,1000
1995-03-01,2919.67397804871,2870.45015814514,2978.0674576096844,2861.2804984877357,1000
1995-04-01,2894.88882296448,2919.67397804871,2952.7865994237695,2836.9910465051903,1000
1995-05-01,2771.57125569763,2894.88882296448,2827.0026808115826,2716.1398305836774,1000
1995-06-01,2987.68194348755,2771.57125569763,3047.435582357301,2927.9283046177993,1000
1995-07-01,3076.4500581665,2987.68194348755,3137.9790593298303,3014.92105700317,1000
1995-08-01,3040.13619641418,3076.4500581665,3100.938920342464,2979.3334724858964,1000
1995-09-01,2910.42504276428,3040.13619641418,2968.633543619566,2852.2165419089943,1000
1995-10-01,2810.06817431793,2910.42504276428,2866.2695378042886,2753.866810831571,1000
1995-11-01,2981.61903664856,2810.06817431793,3041.251417381531,2921.9866559155885,1000
1995-12-01,2918.21064537659,2981.61903664856,2976.574858284122,2859.846432469058,1000
1996-01-01,2604.99992943115,2918.21064537659,2657.099928019773,2552.8999308425273,1000
1996-02-01,2544.66672335968,2604.99992943115,2595.5600578268736,2493.7733888924863,1000
1996-03-01,2563.34994940033,2544.66672335968,2614.6169483883364,2512.0829504123235,1000
1996-04-01,2594.17496803894,2563.34994940033,2646.0584673997187,2542.291468678161,1000
1996-05-01,2658.76193080902,2594.17496803894,2711.937169425201,2605.5866921928396,1000
1996-06-01,2177.59998270721,2658.76193080902,2221.1519823613544,2134.0479830530658,1000
1996-07-01,1983.93479971771,2177.59998270721,2023.6134957120642,1944.2561037233556,1000
1996-08-01,2017.85720584564,1983.93479971771,2058.2143499625527,1977.5000617287271,1000
1996-09-01,1935.07143060913,2017.85720584564,1973.7728592213125,1896.3700019969474,1000
1996-10-01,1960.19567519531,1935.07143060913,1999.3995886992163,1920.9917616914038,1000
1996-11-01,2215.42864607391,1960.19567519531,2259.737218995388,2171.120073152432,1000
1996-12-01,2264.59527826385,2215.42864607391,2309.887183829127,2219.303372698573,1000
1997-01-01,2427.27279402924,2264.59527826385,2475.8182499098248,2378.727338148655,1000
