name,category,final_pnl,max_drawdown,trade_count
imc_day_-2,imc,76939.5,1472500.0,1455
imc_day_-1,imc,74646.0,1598985.0,1523
imc_day_0,imc,72326.0,1577966.0,1619
av_COFFEE_d0,real,-390555.0,391613.0,244
av_COFFEE_d3,real,-492360.5,492636.5,261
av_COFFEE_d8,real,-827552.0,827552.0,339
av_CORN_d11,real,-551874.0,551874.0,261
av_CORN_d6,real,-772850.0,772850.0,313
av_COTTON_d1,real,-330956.0,330959.0,168
av_COTTON_d4,real,-499186.0,499186.0,272
av_COTTON_d9,real,-680522.0,680522.0,291
av_SUGAR_d2,real,-792626.0,792626.0,321
av_SUGAR_d7,real,-1090408.0,1090468.0,321
av_WHEAT_d10,real,-413245.0,413374.0,248
av_WHEAT_d5,real,-415441.0,415453.0,251
yf_ADM_d0,real,-1340001.5,1340005.5,441
yf_ADM_d13,real,-631853.0,631853.0,341
yf_ADM_d5,real,-607351.0,607351.0,331
yf_BGS_d0,real,-508892.0,508892.0,257
yf_BGS_d13,real,-1012080.0,1012125.0,366
yf_BGS_d5,real,-623716.0,623716.0,334
yf_MKC_d0,real,-897884.0,897946.0,430
yf_MKC_d13,real,-1244163.0,1244259.0,404
yf_MKC_d5,real,-732588.0,732588.0,429
yf_ZC_F_d0,real,-777186.0,777203.5,403
yf_ZC_F_d13,real,-1472062.0,1472062.0,488
yf_ZC_F_d5,real,-558399.0,558399.0,340
yf_ZS_F_d0,real,-1198488.0,1198488.0,424
yf_ZS_F_d13,real,-673566.0,673566.0,375
yf_ZS_F_d5,real,-721146.0,721146.0,388
yf_ZW_F_d0,real,-587381.0,587381.0,338
yf_ZW_F_d13,real,-1204310.0,1204310.0,395
yf_ZW_F_d5,real,-1238181.0,1238181.0,421
bear_normal_s0,scenario,-188524.0,188589.0,9805
bear_volatile_s0,scenario,-398064.0,398431.0,13287
bull_normal_s0,scenario,-227935.0,227971.0,9944
crash_normal_s0,scenario,-463551.0,463551.0,10843
crash_volatile_s0,scenario,-673091.0,673091.0,14325
high_vol_volatile_s0,scenario,-8462290.0,8462290.0,14352
sawtooth_normal_s0,scenario,-390099.0,390169.0,9424
sawtooth_volatile_s0,scenario,-632693.0,632773.0,13063
sideways_drift_s0,scenario,-1019841.0,1019841.0,5846
sideways_normal_s0,scenario,-1168625.0,1168625.0,9317
spike_crash_volatile_s0,scenario,-870911.0,870911.0,15020
v_recovery_drift_s0,scenario,-77983.0,78687.0,7116
v_recovery_normal_s0,scenario,-230172.0,230288.0,10712
