session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,-171.79815585746837,196.88389511751302,0,20,0,1
1,85.39533533570648,194.67279554830748,0,20,0,1
2,105.75665516362642,209.35270871761895,0,20,0,1
3,-217.5337452338863,243.73113689472666,0,20,0,1
4,-151.92077883082675,272.16808070620755,0,20,0,1
5,-461.6805043618515,461.6805043618515,0,20,0,1
6,-141.44084560526244,247.22580981228384,0,20,0,1
7,99.70626089026337,136.78582982439548,0,20,0,1
8,-161.66095455980394,360.03371886492823,0,20,0,1
9,-134.2721851294482,331.4316162574396,0,20,0,1
10,-293.05260331484897,341.7543399430142,0,20,0,1
11,-250.79730702619418,275.0517316857731,0,20,0,1
12,-30.433927465055604,186.46845021273475,0,20,0,1
13,-86.84086458386446,292.86792452726513,0,20,0,1
14,-474.5014467970468,493.3588277560484,0,20,0,1
15,12.382316292088944,280.7315230274253,0,20,0,1
16,-277.89391885357327,320.81288374136784,0,20,0,1
17,-318.88116464036284,465.6430491799256,0,20,0,1
18,-266.47555102116894,266.47555102116894,0,20,0,1
19,147.77612509808387,136.8839718381205,0,20,0,1
20,-199.72409789492667,371.9126570142689,0,20,0,1
21,-40.400018263739184,245.56302571053675,0,20,0,1
22,-385.65106084782747,425.352856089361,0,20,0,1
23,-0.7098139386798721,239.05420206130657,0,20,0,1
24,-149.53996234867373,278.61053977377014,0,20,0,1
25,-149.84801918246376,250.0975374626869,0,20,0,1
26,-335.8140104609629,398.54070466374105,0,20,0,1
27,-74.27068168582628,186.4975461110589,0,20,0,1
28,-231.93728427898895,312.1229995062604,0,20,0,1
29,-301.7940578864509,371.6346678898699,0,20,0,1
30,-342.0298159255035,451.23179502398125,0,20,0,1
31,61.26661237308872,166.91237164741324,0,20,0,1
32,-63.00820549549826,273.29296106075344,0,20,0,1
33,-187.54693350907473,346.6290906443901,0,20,0,1
34,42.62038416558062,310.2223511663324,0,20,0,1
35,-9.936851434336859,332.93688226236554,0,20,0,1
36,-231.2782529331016,334.30050703104644,0,20,0,1
37,-22.220726471656235,244.8338667475182,0,20,0,1
38,-165.8909289828589,284.9763810043369,0,20,0,1
39,-31.929625547505566,209.0947899419698,0,20,0,1
40,-372.57674593101547,486.1306632585183,0,20,0,1
41,-91.62764359884022,349.33603181361104,0,20,0,1
42,-142.0628101030743,269.82683379165246,0,20,0,1
43,-326.0747777503857,395.63011081497825,0,20,0,1
44,-15.740750273107551,226.23032778866764,0,20,0,1
45,61.37117665974074,225.4425967040297,0,20,0,1
46,-55.86328742754995,308.5798217734846,0,20,0,1
47,122.93595838843612,201.2218224265962,0,20,0,1
48,-273.9275608115422,333.85052218860073,0,20,0,1
49,-356.75393562272075,431.92423698765924,0,20,0,1
