session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,-258.39045412745327,952.5874646866578,0,80,0,1
1,-1550.046602999093,1680.3737332188757,0,80,0,1
2,-1467.3078859483358,1723.1282344756182,0,80,0,1
3,-143.62512195471209,1245.9479040356819,0,80,0,1
4,-1047.073643694981,1598.0120263708523,0,80,0,1
5,704.9316215020372,1048.4896309658652,0,80,0,1
6,-640.6083427601261,986.3221010326524,0,80,0,1
7,-2190.7032043557847,2218.174118206138,0,80,0,1
8,-687.6714134991635,1301.1555118475808,0,80,0,1
9,11.64353712904267,1354.9349677720456,0,80,0,1
10,264.1785316129681,975.1428039467428,0,80,0,1
11,-286.24514240934514,1443.9708336935146,0,80,0,1
12,-580.8395560319768,1296.246301142266,0,80,0,1
13,-793.7934856080683,1393.8770547316526,0,80,0,1
14,896.4418385405443,1446.910826259409,0,80,0,1
15,-900.9140674425289,1413.9823670806363,0,80,0,1
16,-986.9466569274082,2622.833809148986,0,80,0,1
17,-683.8070246962598,2247.899452060985,0,80,0,1
18,-434.397801753832,845.2837687340216,0,80,0,1
19,-18.291203500062693,2113.5515915650176,0,80,0,1
20,-39.64188205898972,1090.7342278771102,0,80,0,1
21,-1267.7940301448689,1442.2439581769286,0,80,0,1
22,546.9106887278613,883.9084880804294,0,80,0,1
23,-189.18906639376655,1748.4272440008353,0,80,0,1
24,514.8587143034674,956.9977496826323,0,80,0,1
25,673.8563375151716,1080.618935415987,0,80,0,1
26,-527.7010258241207,1428.8793363228324,0,80,0,1
27,227.97742768167518,1217.9757016958902,0,80,0,1
28,-104.36903072125278,1131.8572886960465,0,80,0,1
29,-6.869320176192559,1215.0107663047966,0,80,0,1
30,810.2824824886629,1119.3354562774766,0,80,0,1
31,-341.3024092616979,1745.8240297060693,0,80,0,1
32,-1303.9383703424828,1911.0486782726366,0,80,0,1
33,-608.5025798564893,1530.108482254669,0,80,0,1
34,-1018.0369719022419,1855.763850626885,0,80,0,1
35,-1058.9723217359278,1541.880670517101,0,80,0,1
36,-465.0258323698072,1429.375262042624,0,80,0,1
37,-1262.4680385576212,1974.9712617432815,0,80,0,1
38,-418.64846580382437,1269.6177725354792,0,80,0,1
39,-336.4883885253803,1253.3809810667299,0,80,0,1
40,-572.3931156742037,1550.0721326918574,0,80,0,1
41,-326.55316148191923,1803.7812261739164,0,80,0,1
42,-211.603865142446,1173.4354828103096,0,80,0,1
43,-55.486945938377175,972.6588627460296,0,80,0,1
44,-1085.4331843137043,1780.3594935587025,0,80,0,1
45,-976.7397467200644,1443.0178210068261,0,80,0,1
46,-745.3964279225911,1906.9498149002902,0,80,0,1
47,-1346.188680884894,1898.3972924545524,0,80,0,1
48,-977.448216662393,1674.1793467128882,0,80,0,1
49,-681.9114266569959,1453.8386633105692,0,80,0,1
50,-1059.7318111459026,1955.6595255572465,0,80,0,1
