name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_round_1_day_-1,imc,-305479.0,7925.0,-313404.0,1915261.0,-0.012166817456965578,-0.013811090978156599,-0.15949732177494347,5665
imc_round_1_day_-2,imc,-443922.0,4863.0,-448785.0,2114530.5,-0.014815812426222154,-0.017783932799463647,-0.2099388020177529,8405
imc_round_1_day_0,imc,-117646.0,5213.0,-122859.0,2050612.0,-0.004941325679443748,-0.004978523779746275,-0.057371165291142355,2140
imc_round_2_day_-1,imc,-300945.0,7477.0,-308422.0,1940215.0,-0.01187390722907047,-0.013457326164970878,-0.1551090987339032,5587
imc_round_2_day_0,imc,-115341.0,4947.0,-120288.0,1830615.0,-0.004729198013889905,-0.00481127310647312,-0.06300669447153005,2099
imc_round_2_day_1,imc,-118457.0,6656.0,-125113.0,1763949.0,-0.004796052489571234,-0.00484309599399739,-0.06715443587087835,2080
