timestamp,close,High,Low,Open,volume
2026-04-12 00:00:00+00:00,72979.0078125,73057.15625,72979.0078125,73057.15625,0
2026-04-12 00:05:00+00:00,73049.3671875,73049.3671875,72932.578125,72932.578125,21882880
2026-04-12 00:10:00+00:00,73025.1484375,73045.125,73025.1484375,73026.2421875,0
2026-04-12 00:15:00+00:00,72965.4453125,73013.671875,72965.4453125,73013.671875,0
2026-04-12 00:20:00+00:00,73086.734375,73086.734375,72970.1171875,72970.1171875,0
2026-04-12 00:25:00+00:00,73078.046875,73096.484375,73078.046875,73096.484375,0
2026-04-12 00:30:00+00:00,73097.546875,73097.546875,73078.625,73080.6484375,8755200
2026-04-12 00:35:00+00:00,73109.0078125,73124.0859375,73092.7578125,73103.0390625,1873920
2026-04-12 00:40:00+00:00,73039.1796875,73053.84375,73038.9453125,73053.84375,0
2026-04-12 00:45:00+00:00,73051.6171875,73053.796875,73046.40625,73051.3203125,0
2026-04-12 00:50:00+00:00,73087.1796875,73109.4296875,73046.3828125,73046.3828125,7534592
2026-04-12 00:55:00+00:00,73068.3828125,73073.015625,73049.1640625,73073.015625,0
2026-04-12 01:00:00+00:00,73140.625,73141.5,73083.3515625,73083.3515625,0
2026-04-12 01:05:00+00:00,73066.5390625,73066.5390625,73057.890625,73057.890625,0
2026-04-12 01:10:00+00:00,73098.484375,73140.71875,73098.484375,73129.1328125,251564032
2026-04-12 01:15:00+00:00,73067.6015625,73086.0390625,73065.921875,73086.0390625,0
2026-04-12 01:20:00+00:00,73083.984375,73089.3828125,73080.4921875,73085.109375,0
2026-04-12 01:25:00+00:00,73031.0078125,73075.6953125,73031.0078125,73075.6953125,61204480
2026-04-12 01:30:00+00:00,72809.78125,73038.4765625,72809.78125,73038.4765625,0
2026-04-12 01:35:00+00:00,72095.953125,72683.8984375,72095.953125,72683.8984375,326256640
2026-04-12 01:40:00+00:00,71963.0625,72280.1015625,71961.390625,72280.1015625,130981888
2026-04-12 01:45:00+00:00,71527.5625,71705.0625,71527.5625,71705.0625,1037944832
2026-04-12 01:50:00+00:00,71590.359375,71590.359375,71527.875,71575.8046875,221626368
2026-04-12 01:55:00+00:00,71666.203125,71666.203125,71588.765625,71612.8515625,517007360
2026-04-12 02:00:00+00:00,71538.421875,71728.359375,71538.421875,71662.8671875,113299456
2026-04-12 02:05:00+00:00,71576.484375,71576.484375,71464.046875,71464.046875,171853824
2026-04-12 02:10:00+00:00,71799.9921875,71799.9921875,71618.21875,71618.21875,166090752
2026-04-12 02:15:00+00:00,71850.6328125,71961.015625,71850.6328125,71893.375,204003328
2026-04-12 02:20:00+00:00,71780.921875,71878.34375,71780.921875,71870.1953125,26523648
2026-04-12 02:25:00+00:00,71819.875,71819.875,71769.7578125,71769.7578125,152492032
2026-04-12 02:30:00+00:00,71875.5703125,71883.265625,71875.5703125,71883.265625,0
2026-04-12 02:35:00+00:00,71918.125,71919.671875,71904.578125,71904.578125,77973504
2026-04-12 02:40:00+00:00,71924.7734375,71924.7734375,71876.078125,71876.078125,0
2026-04-12 02:45:00+00:00,71852.2421875,71899.2421875,71838.53125,71899.2421875,0
2026-04-12 02:50:00+00:00,71859.609375,71867.296875,71839.203125,71839.203125,25182208
2026-04-12 02:55:00+00:00,71810.359375,71827.6171875,71810.359375,71827.6171875,71202816
2026-04-12 03:00:00+00:00,71822.5390625,71839.5,71790.203125,71790.203125,0
2026-04-12 03:05:00+00:00,71767.453125,71860.9296875,71767.453125,71854.4140625,0
2026-04-12 03:10:00+00:00,71718.984375,71722.3359375,71677.2109375,71722.3359375,0
2026-04-12 03:15:00+00:00,71731.0390625,71764.5234375,71721.984375,71764.5234375,141608960
2026-04-12 03:20:00+00:00,71675.3828125,71698.8359375,71675.3828125,71698.8359375,0
2026-04-12 03:25:00+00:00,71729.203125,71729.203125,71707.6484375,71707.6484375,249303040
2026-04-12 03:30:00+00:00,71626.78125,71755.625,71626.78125,71735.6953125,28956672
2026-04-12 03:35:00+00:00,71689.8125,71705.015625,71673.671875,71705.015625,0
2026-04-12 03:40:00+00:00,71694.875,71700.5390625,71677.9453125,71677.9453125,0
2026-04-12 03:45:00+00:00,71686.53125,71692.953125,71678.5,71692.953125,109819904
2026-04-12 03:50:00+00:00,71711.78125,71711.78125,71654.796875,71654.796875,283957248
2026-04-12 03:55:00+00:00,71660.0546875,71687.90625,71660.0546875,71687.90625,0
2026-04-12 04:00:00+00:00,71642.8671875,71642.8671875,71621.7890625,71621.7890625,145692672
2026-04-12 04:05:00+00:00,71674.03125,71678.65625,71649.984375,71649.984375,33128448
2026-04-12 04:10:00+00:00,71564.4453125,71599.6875,71564.4453125,71599.6875,0
2026-04-12 04:15:00+00:00,71524.109375,71603.3671875,71524.109375,71576.1875,76699648
2026-04-12 04:20:00+00:00,71536.5546875,71570.4765625,71536.5546875,71544.9921875,0
2026-04-12 04:25:00+00:00,71577.71875,71577.71875,71548.953125,71548.953125,0
2026-04-12 04:30:00+00:00,71539.8125,71553.8984375,71536.875,71553.8984375,0
2026-04-12 04:35:00+00:00,71542.3125,71562.6328125,71542.3125,71562.6328125,66754560
2026-04-12 04:40:00+00:00,71581.6328125,71581.6328125,71564.3359375,71564.3359375,22482944
2026-04-12 04:45:00+00:00,71555.46875,71577.6171875,71555.46875,71577.6171875,0
2026-04-12 04:50:00+00:00,71485.328125,71581.953125,71485.328125,71576.4296875,39030784
2026-04-12 04:55:00+00:00,71490.046875,71490.046875,71481.25,71481.25,36454400
2026-04-12 05:00:00+00:00,71538.5234375,71538.5234375,71487.3984375,71487.3984375,0
2026-04-12 05:05:00+00:00,71592.109375,71592.109375,71509.1953125,71509.1953125,99362816
2026-04-12 05:10:00+00:00,71542.0625,71576.9921875,71542.0625,71575.09375,17721344
2026-04-12 05:15:00+00:00,71518.7578125,71536.5,71518.7578125,71536.5,0
2026-04-12 05:20:00+00:00,71641.0859375,71644.8828125,71545.1015625,71545.1015625,198365184
2026-04-12 05:25:00+00:00,71667.9609375,71667.9609375,71657.84375,71657.84375,14028800
2026-04-12 05:30:00+00:00,71719.5703125,71719.5703125,71684.8984375,71684.8984375,56903680
2026-04-12 05:35:00+00:00,71644.0,71650.4375,71640.3828125,71640.3828125,95485952
2026-04-12 05:40:00+00:00,71657.4921875,71668.140625,71657.4921875,71668.140625,94758912
2026-04-12 05:45:00+00:00,71717.7890625,71717.7890625,71667.1015625,71667.1015625,0
2026-04-12 05:50:00+00:00,71762.8203125,71785.1328125,71740.4765625,71740.4765625,58099712
2026-04-12 05:55:00+00:00,71740.96875,71752.625,71722.375,71722.375,180930560
2026-04-12 06:00:00+00:00,71725.3125,71735.875,71725.3125,71735.875,12961792
2026-04-12 06:05:00+00:00,71733.4296875,71737.7421875,71733.4296875,71737.7421875,71413760
2026-04-12 06:10:00+00:00,71759.390625,71759.390625,71723.71875,71723.71875,44670976
2026-04-12 06:15:00+00:00,71697.25,71762.03125,71697.09375,71762.03125,0
2026-04-12 06:20:00+00:00,71696.265625,71709.59375,71691.9375,71709.59375,0
2026-04-12 06:25:00+00:00,71740.9453125,71749.8046875,71724.1015625,71724.1015625,0
2026-04-12 06:30:00+00:00,71680.5234375,71721.84375,71680.5234375,71721.84375,69920768
2026-04-12 06:35:00+00:00,71671.9375,71676.6640625,71663.28125,71676.6640625,0
2026-04-12 06:40:00+00:00,71666.3828125,71679.75,71666.3828125,71674.78125,0
2026-04-12 06:45:00+00:00,71669.5234375,71678.9140625,71669.5234375,71675.296875,0
2026-04-12 06:50:00+00:00,71701.9609375,71701.9609375,71673.734375,71673.734375,32423936
2026-04-12 06:55:00+00:00,71675.6640625,71688.421875,71667.7109375,71688.421875,3481600
2026-04-12 07:00:00+00:00,71622.0078125,71673.453125,71622.0078125,71673.453125,13238272
2026-04-12 07:05:00+00:00,71616.75,71616.9140625,71612.8359375,71616.9140625,0
