threshold,hold,spread_max,size_scale,taker_frac,day2_pnl,day2_trades,day3_pnl,day3_trades,day4_pnl,day4_trades,day3_10pct_pnl,day3_10pct_trades,total_3days,score
8.0,3,8,0.35,0.6,-1573260.9200000002,42378,-2487793.035,53376,-1109864.1049999995,56827,-238799.27749999997,4727,-5170918.06,-906977.3116249999
8.0,1,8,0.5,0.2,-1832592.4249999998,42478,-2812587.0,53476,-458157.2500000005,56927,-268408.875,4827,-5103336.675000001,-913125.3825000001
8.0,1,8,0.35,0.8,-1729533.89,42478,-2526922.65,53476,-956628.9249999996,56927,-239813.69999999998,4827,-5213085.465,-913860.3547499999
8.0,1,10,0.15,0.2,-2205571.7474999996,116804,-2151130.0574999996,113535,-1160471.985,102982,-221796.525,11349,-5517173.79,-949564.1572499999
8.0,3,10,0.15,0.2,-2201633.25,116704,-2153676.0225000004,113435,-1345057.395,102882,-225812.565,11249,-5700366.6675,-979251.9108750001
8.0,2,8,0.35,0.4,-1513005.9699999997,42428,-2237833.71,53426,-1997430.89,56877,-220275.54499999998,4777,-5748270.569999999,-983392.13525
8.0,3,8,0.35,0.8,-1721815.9350000003,42378,-2673474.9299999997,53376,-1321441.4149999996,56827,-255766.07,4727,-5716732.279999999,-998181.1804999998
8.0,1,8,0.35,1.0,-1878440.2874999996,42478,-2712959.9,53476,-1168601.8749999995,56927,-257122.8625,4827,-5760002.0625,-1005417.8837499998
8.0,3,8,0.5,0.2,-1823072.7,42378,-3023470.3500000006,53376,-981013.55,56827,-292665.275,4727,-5827556.600000001,-1035099.3912500001
8.0,1,8,0.5,0.4,-2045315.8499999999,42478,-3078354.5000000005,53476,-760975.75,56927,-293136.25,4827,-5884646.100000001,-1043921.8525
8.0,1,10,0.15,0.4,-2420114.52,116804,-2353259.34,113535,-1344002.745,102982,-242486.47500000003,11349,-6117376.6049999995,-1050974.052
8.0,2,10,0.15,0.2,-2240736.9375,116754,-2163752.8575,113485,-1783324.6424999996,102932,-225632.72999999998,11299,-6187814.4375,-1052270.167125
8.0,2,8,0.35,0.6,-1661731.6799999997,42428,-2423699.2149999994,53426,-2209214.035,56877,-237411.22999999998,4777,-6294644.93,-1074772.9159999997
8.0,3,10,0.15,0.4,-2415986.7,116704,-2355629.0700000003,113435,-1528390.14,102882,-246341.35499999998,11249,-6300005.91,-1080488.63175
8.0,3,8,0.35,1.0,-1870370.9499999997,42378,-2859156.8249999997,53376,-1533018.725,56827,-272732.86249999993,4727,-6262546.5,-1089385.049375
8.0,1,10,0.15,0.6,-2634657.2924999995,116804,-2555388.6225,113535,-1527533.5050000001,102982,-263176.425,11349,-6717579.419999999,-1152383.94675
8.0,2,10,0.15,0.4,-2455180.5749999997,116754,-2365794.99,113485,-1966756.635,102932,-246240.80999999997,11299,-6787732.199999999,-1153592.2755
8.0,3,8,0.5,0.4,-2035294.15,42378,-3288730.1999999997,53376,-1283266.85,56827,-316903.55,4727,-6607291.199999999,-1165390.6325
8.0,2,8,0.35,0.8,-1810457.3900000001,42428,-2609564.72,53426,-2420997.1799999997,56877,-254546.91499999998,4777,-6841019.29,-1166153.6967500001
8.0,1,8,0.5,0.6,-2258039.275,42478,-3344122.0,53476,-1063794.2499999995,56927,-317863.625,4827,-6665955.525,-1174718.3225
8.0,3,10,0.15,0.6,-2630340.15,116704,-2557582.1174999997,113435,-1711722.8850000002,102882,-266870.145,11249,-6899645.1525,-1181725.3526249998
8.0,1,10,0.15,0.8,-2849200.065000001,116804,-2757517.905,113535,-1711064.2649999997,102982,-283866.375,11349,-7317782.235,-1253793.8415
8.0,2,10,0.15,0.6,-2669624.2125,116754,-2567837.1225,113485,-2150188.6275,102932,-266848.89,11299,-7387649.9625,-1254914.383875
8.0,2,8,0.35,1.0,-1959183.1,42428,-2795430.225,53426,-2632780.3249999997,56877,-271682.6,4777,-7387393.65,-1257534.4775
8.0,2,8,0.5,0.2,-1948971.7999999998,42428,-2931383.1500000004,53426,-2550925.3499999996,56877,-290199.8,4777,-7431280.3,-1274301.935
8.0,3,10,0.15,0.8,-2844693.6,116704,-2759535.165,113435,-1895055.63,102882,-287398.935,11249,-7499284.3950000005,-1282962.0735
8.0,3,8,0.5,0.6,-2247515.6,42378,-3553990.0500000003,53376,-1585520.15,56827,-341141.825,4727,-7387025.800000001,-1295681.87375
8.0,1,8,0.5,0.8,-2470762.7,42478,-3609889.5,53476,-1366612.7499999998,56927,-342591.0,4827,-7447264.95,-1305514.7924999997
8.0,1,10,0.15,1.0,-3063742.8375,116804,-2959647.1875,113535,-1894595.0250000001,102982,-304556.32499999995,11349,-7917985.050000001,-1355203.73625
8.0,2,10,0.15,0.8,-2884067.85,116754,-2769879.2549999994,113485,-2333620.6199999996,102932,-287456.97,11299,-7987567.725,-1356236.4922499997
8.0,1,8,0.75,0.2,-2748888.6374999997,42478,-4218880.5,53476,-687235.8749999998,56927,-402613.3125,4827,-7655005.012499999,-1369688.0737499997
8.0,3,10,0.15,1.0,-3059047.05,116704,-2961488.2124999994,113435,-2078388.375,102882,-307927.725,11249,-8098923.637499999,-1384198.7943749996
8.0,2,8,0.5,0.4,-2161437.0999999996,42428,-3196905.3,53426,-2853472.6999999997,56877,-314679.35,4777,-8211815.1,-1404845.9074999997
8.0,3,8,0.5,0.8,-2459737.0500000003,42378,-3819249.9000000004,53376,-1887773.45,56827,-365380.10000000003,4727,-8166760.400000001,-1425973.1150000002
8.0,1,8,0.5,1.0,-2683486.125,42478,-3875657.0,53476,-1669431.25,56927,-367318.375,4827,-8228574.375,-1436311.2625
8.0,1,12,0.15,0.2,-3155031.405,150403,-3049038.3375,145927,-2177428.98,139947,-339003.60750000004,15290,-8381498.7225,-1443676.7925
8.0,2,10,0.15,1.0,-3098511.4875,116754,-2971921.3875000007,113485,-2517052.6125000003,102932,-308065.05,11299,-8587485.4875,-1457558.600625
8.0,3,12,0.15,0.2,-3152423.3849999993,150303,-3039147.3975,145827,-2374101.99,139847,-334177.605,15190,-8565672.772499999,-1468648.5986249999
8.0,2,8,0.5,0.6,-2373902.4000000004,42428,-3462427.45,53426,-3156020.0500000003,56877,-339158.89999999997,4777,-8992349.9,-1535389.8800000001
8.0,2,12,0.15,0.2,-3198523.7625,150353,-3062778.5175,145877,-2839238.8950000005,139897,-340147.995,15240,-9100541.175,-1552162.5735000002
8.0,3,8,0.75,0.2,-2734609.05,42378,-4535205.524999999,53376,-1471520.3250000002,56827,-438997.9125,4727,-8741334.899999999,-1552649.086875
