name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_day_-2,imc,42077.0,3255.0,38822.0,1590392.5,0.0015688157046446977,0.0016736010713409937,0.026456990962922675,186
imc_day_-1,imc,43327.0,4482.0,38845.0,1594187.0,0.001666087588034639,0.0017822783909636009,0.027178116494489042,212
imc_day_0,imc,42428.0,3259.0,39169.0,1597892.0,0.001506388525455606,0.0015986203083554317,0.026552482896215764,203
av_COFFEE_d0,real,-215.0,-215.0,0.0,7867.0,0.010893131140283605,0.021835703994177433,-0.027329350451252066,42
av_COFFEE_d3,real,3155.0,3155.0,0.0,8142.5,0.6730776671953496,1.351402512534638,0.38747313478661344,110
av_COFFEE_d8,real,4391.0,4391.0,0.0,7966.0,0.9239209704578824,1.9091255717809887,0.5512176751192568,45
av_CORN_d11,real,-719.0,-719.0,0.0,7966.0,-0.12938998159145632,-0.2656635756190734,-0.09025859904594527,32
av_CORN_d6,real,5359.0,5359.0,0.0,7932.0,1.1571343059054326,2.373109081978628,0.6756177508825013,29
av_COTTON_d1,real,-4871.0,-4871.0,0.0,8038.0,-1.0058788467248567,-2.060666325678213,-0.6059965165464046,43
av_COTTON_d4,real,3234.0,3234.0,0.0,7963.0,0.7247357979088582,1.461401220506723,0.4061283435890996,19
av_COTTON_d9,real,9163.0,9163.0,0.0,8003.0,1.94277518516401,3.9515244502008504,1.1449456453829814,71
av_SUGAR_d2,real,1662.0,1662.0,0.0,7911.0,0.3917896935225507,0.8069934284341359,0.21008722032612817,40
av_SUGAR_d7,real,-100.0,-100.0,0.0,7768.0,0.06570721855696021,0.13439109521820988,-0.012873326467559218,19
av_WHEAT_d10,real,1933.0,1933.0,0.0,7914.0,0.44729898730236684,0.9052938711826266,0.24425069497093757,101
av_WHEAT_d5,real,5227.0,5227.0,0.0,7981.0,1.157482995998155,2.2920889051246895,0.6549304598421251,43
yf_ADM_d0,real,-90.0,-90.0,0.0,7920.0,0.012206651460691827,0.024813828403290383,-0.011363636363636364,42
yf_ADM_d13,real,3234.0,3234.0,0.0,7963.0,0.7247357979088582,1.461401220506723,0.4061283435890996,19
yf_ADM_d5,real,4743.0,4743.0,0.0,7950.0,1.03892902005708,2.110014753165096,0.5966037735849057,20
yf_BGS_d0,real,-215.0,-215.0,0.0,7867.0,0.010893131140283605,0.021835703994177433,-0.027329350451252066,42
yf_BGS_d13,real,1281.0,1281.0,0.0,7952.5,0.29355612277036713,0.584300141150414,0.16108142093681233,102
yf_BGS_d5,real,3640.0,3640.0,0.0,8005.0,0.8001347296644495,1.5809256210420477,0.4547158026233604,19
yf_MKC_d0,real,-81.0,-81.0,0.0,7880.0,0.03418872579313101,0.0690172922234438,-0.010279187817258882,93
yf_MKC_d13,real,1933.0,1933.0,0.0,7914.0,0.44729898730236684,0.9052938711826266,0.24425069497093757,101
yf_MKC_d5,real,4977.0,4977.0,0.0,8016.0,1.0567909628216574,2.1831590339905924,0.6208832335329342,43
yf_ZC_F_d0,real,1148.0,1148.0,0.0,7859.0,0.2649521110575562,0.5318282398548453,0.1460745641939178,120
yf_ZC_F_d13,real,-319.0,-319.0,0.0,7822.0,0.006842957979258706,0.014223369436037202,-0.04078240859115316,18
yf_ZC_F_d5,real,-154.0,-154.0,0.0,7989.0,-0.01143678488652658,-0.022615832309130723,-0.019276505194642635,45
yf_ZS_F_d0,real,2597.0,2597.0,0.0,8007.5,0.5676972917463671,1.1601723296573716,0.3243209491102092,57
yf_ZS_F_d13,real,-2408.0,-2408.0,0.0,8057.5,-0.4441257480001518,-0.8934596934226291,-0.29885200124107975,60
yf_ZS_F_d5,real,6591.0,6591.0,0.0,8190.0,1.4117133349880926,2.839574582036533,0.8047619047619048,33
yf_ZW_F_d0,real,919.0,919.0,0.0,7861.0,0.2021432742221094,0.3984427247432578,0.11690624602467879,97
yf_ZW_F_d13,real,5960.0,5960.0,0.0,7949.0,1.3462184144536997,2.7472196996687197,0.749779846521575,21
yf_ZW_F_d5,real,1662.0,1662.0,0.0,7911.0,0.3917896935225507,0.8069934284341359,0.21008722032612817,40
bear_normal_s0,scenario,147190.0,147408.0,-218.0,3261.0,6.789571120907974,11.20860893630419,45.136461208218336,2443
bear_volatile_s0,scenario,206796.0,207014.0,-218.0,8304.0,5.547010121579662,7.909808411316812,24.903179190751445,2431
bull_normal_s0,scenario,147803.0,147408.0,395.0,3261.0,6.818281503777383,11.253789475835312,45.324440355719105,2444
crash_normal_s0,scenario,147868.0,147408.0,460.0,3261.0,6.819967708244234,11.257243676618192,45.344372891751,2443
crash_volatile_s0,scenario,207474.0,207014.0,460.0,8304.0,5.56517474233768,7.935002437922795,24.984826589595375,2431
high_vol_volatile_s0,scenario,211024.0,207014.0,4010.0,8304.0,5.6565986474348104,8.068166351455528,25.41233140655106,2430
sawtooth_normal_s0,scenario,162839.0,148270.0,14569.0,2980.0,7.450416530349031,12.429177575850632,54.643959731543625,2421
sawtooth_volatile_s0,scenario,227439.0,212870.0,14569.0,8144.0,6.109922198793353,8.717313459730475,27.927185658153242,2439
sideways_drift_s0,scenario,11499.0,-12849.0,24348.0,17680.0,0.6889951765606317,1.2333334559806768,0.65039592760181,84
sideways_normal_s0,scenario,173694.0,147408.0,26286.0,3261.0,7.9847623279503805,13.231501314762756,53.26402943882245,2442
spike_crash_volatile_s0,scenario,214407.0,207014.0,7393.0,8304.0,5.747039080137422,8.195165127221376,25.81972543352601,2431
v_recovery_drift_s0,scenario,-13991.0,-12849.0,-1142.0,17680.0,-0.8415019158115293,-1.500623076892712,-0.7913461538461538,84
v_recovery_normal_s0,scenario,147025.0,147408.0,-383.0,3261.0,6.782514732182108,11.198531909882135,45.085863232137385,2444
