name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,trade_count
imc_day_-2,imc,18094.0,443.0,17651.0,442772.0,518
imc_day_-1,imc,9094.0,552.0,8542.0,307224.0,581
imc_day_0,imc,927.0,631.0,296.0,415985.0,565
av_COFFEE_d0,real,-165630.0,-3843.0,-161787.0,167165.0,592
av_COFFEE_d3,real,-218967.0,-15936.0,-203031.0,218967.0,1370
av_COFFEE_d8,real,-323742.0,-9217.0,-314525.0,323742.0,1234
av_CORN_d11,real,-263174.0,-8164.0,-255010.0,263174.0,972
av_CORN_d6,real,-301790.0,-6041.0,-295749.0,301790.0,1074
av_COTTON_d1,real,-160217.0,-3987.0,-156230.0,164726.0,675
av_COTTON_d4,real,-210278.0,-2076.0,-208202.0,210278.0,1047
av_COTTON_d9,real,-289042.0,-10850.0,-278192.0,289042.0,1142
av_SUGAR_d2,real,-272929.0,-2656.0,-270273.0,272929.0,1380
av_SUGAR_d7,real,-381393.0,-4868.0,-376525.0,381408.0,856
av_WHEAT_d10,real,-208957.0,-15272.0,-193685.0,208957.0,1410
av_WHEAT_d5,real,-160608.0,-4312.0,-156296.0,167004.0,907
yf_ADM_d0,real,-404810.5,-1376.5,-403434.0,404825.5,1507
yf_ADM_d13,real,-213262.0,-2076.0,-211186.0,215689.5,1078
yf_ADM_d5,real,-222474.0,-1821.0,-220653.0,222474.0,1184
yf_BGS_d0,real,-168731.0,-3843.0,-164888.0,172993.0,943
yf_BGS_d13,real,-408460.0,-14132.0,-394328.0,408460.0,1762
yf_BGS_d5,real,-239460.0,-2763.0,-236697.0,240818.0,1049
yf_MKC_d0,real,-316169.0,-15459.0,-300710.0,317998.0,1813
yf_MKC_d13,real,-402586.0,-15272.0,-387314.0,402586.0,1836
yf_MKC_d5,real,-271326.0,-9417.0,-261909.0,271326.0,1558
yf_ZC_F_d0,real,-295979.0,-20971.0,-275008.0,295979.0,2514
yf_ZC_F_d13,real,-418135.0,-1036.0,-417099.0,418135.0,1636
yf_ZC_F_d5,real,-180419.0,-1976.0,-178443.0,180419.0,1564
yf_ZS_F_d0,real,-390174.0,-7682.0,-382492.0,391164.0,1810
yf_ZS_F_d13,real,-225630.0,-7519.0,-218111.0,227550.0,1264
yf_ZS_F_d5,real,-276853.0,-8825.0,-268028.0,278648.0,1670
yf_ZW_F_d0,real,-274836.0,-23424.0,-251412.0,274836.0,2160
yf_ZW_F_d13,real,-382085.0,-677.0,-381408.0,382085.0,1470
yf_ZW_F_d5,real,-380095.0,-2656.0,-377439.0,380095.0,1620
bear_normal_s0,scenario,-75373.0,19272.0,-94645.0,76231.0,5576
bear_volatile_s0,scenario,-60999.0,33646.0,-94645.0,62070.0,6450
bull_normal_s0,scenario,-59107.0,19272.0,-78379.0,59498.0,5738
crash_normal_s0,scenario,-98964.0,19272.0,-118236.0,102968.0,6389
crash_volatile_s0,scenario,-84590.0,33646.0,-118236.0,89142.0,7263
high_vol_volatile_s0,scenario,-1109754.0,33646.0,-1143400.0,1109754.0,11270
sawtooth_normal_s0,scenario,-196853.0,18366.0,-215219.0,197014.0,5118
sawtooth_volatile_s0,scenario,-183474.0,31745.0,-215219.0,183598.0,5926
sideways_drift_s0,scenario,-366020.0,-12359.0,-353661.0,366020.0,4512
sideways_normal_s0,scenario,-337914.0,19272.0,-357186.0,337914.0,5784
spike_crash_volatile_s0,scenario,-160169.0,33646.0,-193815.0,164129.0,7276
v_recovery_drift_s0,scenario,-192072.0,-12359.0,-179713.0,192078.0,4002
v_recovery_normal_s0,scenario,-160671.0,19272.0,-179943.0,160744.0,5342
