name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_day_-2,imc,78593.0,3109.0,75484.0,1676520.0,0.0020882999098346218,0.002242731851153041,0.04687865340109274,231
imc_day_-1,imc,79672.0,4239.0,75433.0,1737411.0,0.0020653366148664443,0.002197593869939238,0.04585673740985869,261
imc_day_0,imc,77570.0,3191.0,74379.0,1840280.0,0.0019209931622408392,0.002022718701476645,0.04215119438346339,249
av_COFFEE_d0,real,-679.0,-679.0,0.0,8028.0,-0.0887386456261868,-0.17074297513080908,-0.08457897359242651,43
av_COFFEE_d3,real,2423.0,2423.0,0.0,8167.5,0.5202533777204025,1.0557945249763871,0.29666360575451484,117
av_COFFEE_d8,real,4075.0,4075.0,0.0,8100.0,0.8585784476824427,1.7744990532325788,0.5030864197530864,44
av_CORN_d11,real,-912.0,-912.0,0.0,7992.0,-0.16981336239477396,-0.34833343307811176,-0.11411411411411411,34
av_CORN_d6,real,5138.0,5138.0,0.0,7978.0,1.1100845203306196,2.2785352511638632,0.6440210579092505,29
av_COTTON_d1,real,-5362.0,-5362.0,0.0,8188.5,-1.109374822496585,-2.270724223764955,-0.6548207852476033,43
av_COTTON_d4,real,3095.0,3095.0,0.0,8067.5,0.6945781510016952,1.4016364775713956,0.38363805392004957,19
av_COTTON_d9,real,8385.0,8385.0,0.0,8048.0,1.776244594733738,3.6150662010524397,1.0418737574552683,72
av_SUGAR_d2,real,1187.0,1187.0,0.0,8077.0,0.2914764034455824,0.6014953370258773,0.14696050513804632,38
av_SUGAR_d7,real,-427.0,-427.0,0.0,8029.0,-0.004279391209732954,-0.008760895600617656,-0.05318221447253706,19
av_WHEAT_d10,real,955.0,955.0,0.0,8025.0,0.24409283962020306,0.49440637748866034,0.11900311526479751,101
av_WHEAT_d5,real,4819.0,4819.0,0.0,8069.0,1.0725638311438856,2.119622205663663,0.597223943487421,44
yf_ADM_d0,real,-529.0,-529.0,0.0,8026.0,-0.08011080983864913,-0.16302278091594932,-0.06591078993271866,43
yf_ADM_d13,real,3095.0,3095.0,0.0,8067.5,0.6945781510016952,1.4016364775713956,0.38363805392004957,19
yf_ADM_d5,real,4603.0,4603.0,0.0,8030.0,1.0152273271144476,1.975043369803225,0.573225404732254,18
yf_BGS_d0,real,-679.0,-679.0,0.0,8028.0,-0.0887386456261868,-0.17074297513080908,-0.08457897359242651,43
yf_BGS_d13,real,135.0,135.0,0.0,8085.0,0.05538376601137445,0.1108273696788521,0.016697588126159554,99
yf_BGS_d5,real,3505.0,3505.0,0.0,8065.0,0.7710190907618958,1.523811106333025,0.43459392436453814,18
yf_MKC_d0,real,-632.0,-632.0,0.0,8045.0,-0.07847582829553829,-0.15708815502764767,-0.07855811062771909,112
yf_MKC_d13,real,955.0,955.0,0.0,8025.0,0.24409283962020306,0.49440637748866034,0.11900311526479751,101
yf_MKC_d5,real,4572.0,4572.0,0.0,8048.0,0.9712155344494812,2.0134219985549913,0.5680914512922465,42
yf_ZC_F_d0,real,-41.0,-41.0,0.0,7893.0,0.024458487195328265,0.04874518492850139,-0.005194476118079311,129
yf_ZC_F_d13,real,-496.0,-496.0,0.0,7948.0,-0.02984868804259712,-0.06212864687698611,-0.06240563663814796,18
yf_ZC_F_d5,real,-591.0,-591.0,0.0,8048.0,-0.10262842551252067,-0.210472330850331,-0.07343439363817097,42
yf_ZS_F_d0,real,2115.0,2115.0,0.0,8073.0,0.4669547610867044,0.9477337842245045,0.26198439241917504,53
yf_ZS_F_d13,real,-3012.0,-3012.0,0.0,8165.0,-0.5689167241354224,-1.1444550606245363,-0.3688916105327618,55
yf_ZS_F_d5,real,6380.0,6380.0,0.0,8173.0,1.371656980564055,2.7066737544140684,0.7806191117092867,36
yf_ZW_F_d0,real,-1.0,-1.0,0.0,7886.0,0.02135847118730747,0.04169436266633874,-0.000126806999746386,95
yf_ZW_F_d13,real,5818.0,5818.0,0.0,8035.0,1.3161824671301596,2.6858918578161406,0.7240821406347231,21
yf_ZW_F_d5,real,1187.0,1187.0,0.0,8077.0,0.2914764034455824,0.6014953370258773,0.14696050513804632,38
bear_normal_s0,scenario,141768.0,142044.0,-276.0,3261.0,6.466305888992714,10.785780219200534,43.47378104875805,2690
bear_volatile_s0,scenario,201993.0,202269.0,-276.0,8128.0,5.408711033910835,7.771460679729278,24.851500984251967,2653
bull_normal_s0,scenario,141871.0,142044.0,-173.0,3261.0,6.471582091855016,10.79092363537932,43.50536645200859,2694
crash_normal_s0,scenario,142073.0,142044.0,29.0,3261.0,6.4790239089348,10.802091542627853,43.5673106409077,2694
crash_volatile_s0,scenario,202298.0,202269.0,29.0,8128.0,5.416753063672196,7.78215344866586,24.88902559055118,2657
high_vol_volatile_s0,scenario,203547.0,202269.0,1278.0,8128.0,5.448420057067041,7.828505045223704,25.04269192913386,2653
sawtooth_normal_s0,scenario,169731.0,141819.0,27912.0,2980.0,7.630882495660598,12.906679152997397,56.95671140939597,2641
sawtooth_volatile_s0,scenario,232408.0,204496.0,27912.0,8144.0,6.190339121087465,8.854694139325666,28.537328094302556,2612
sideways_drift_s0,scenario,30623.0,-13529.0,44152.0,17680.0,1.8088267474811772,3.2783241736155286,1.7320701357466064,97
sideways_normal_s0,scenario,187544.0,142044.0,45500.0,3261.0,8.457374534458275,14.271720818981972,57.51119288561791,2694
spike_crash_volatile_s0,scenario,214906.0,202269.0,12637.0,8128.0,5.73886609976313,8.259845755861896,26.440206692913385,2657
v_recovery_drift_s0,scenario,-14726.0,-13529.0,-1197.0,17680.0,-0.8851896263494753,-1.5794406497967952,-0.8329185520361991,91
v_recovery_normal_s0,scenario,141717.0,142044.0,-327.0,3261.0,6.4647505164298815,10.783912001576597,43.45814167433303,2689
