session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,-129.19522706372663,476.2937323433289,0,40,0,1
1,-775.0233014995465,840.1868666094379,0,40,0,1
2,-733.6539429741679,861.5641172378091,0,40,0,1
3,-71.81256097735604,622.9739520178409,0,40,0,1
4,-523.5368218474905,799.0060131854261,0,40,0,1
5,352.4658107510186,524.2448154829326,0,40,0,1
6,-320.30417138006305,493.1610505163262,0,40,0,1
7,-1095.3516021778923,1109.087059103069,0,40,0,1
8,-343.83570674958173,650.5777559237904,0,40,0,1
9,5.821768564521335,677.4674838860228,0,40,0,1
10,132.08926580648404,487.5714019733714,0,40,0,1
11,-143.12257120467257,721.9854168467573,0,40,0,1
12,-290.4197780159884,648.123150571133,0,40,0,1
13,-396.89674280403415,696.9385273658263,0,40,0,1
14,448.22091927027213,723.4554131297045,0,40,0,1
15,-450.45703372126445,706.9911835403182,0,40,0,1
16,-493.4733284637041,1311.416904574493,0,40,0,1
17,-341.9035123481299,1123.9497260304925,0,40,0,1
18,-217.198900876916,422.6418843670108,0,40,0,1
19,-9.145601750031346,1056.7757957825088,0,40,0,1
20,-19.82094102949486,545.3671139385551,0,40,0,1
21,-633.8970150724344,721.1219790884643,0,40,0,1
22,273.45534436393064,441.9542440402147,0,40,0,1
23,-94.59453319688328,874.2136220004177,0,40,0,1
24,257.4293571517337,478.49887484131614,0,40,0,1
25,336.9281687575858,540.3094677079935,0,40,0,1
26,-263.85051291206037,714.4396681614162,0,40,0,1
27,113.98871384083759,608.9878508479451,0,40,0,1
28,-52.18451536062639,565.9286443480232,0,40,0,1
29,-3.4346600880962797,607.5053831523983,0,40,0,1
30,405.14124124433147,559.6677281387383,0,40,0,1
31,-170.65120463084895,872.9120148530346,0,40,0,1
32,-651.9691851712414,955.5243391363183,0,40,0,1
33,-304.25128992824466,765.0542411273345,0,40,0,1
34,-509.01848595112097,927.8819253134425,0,40,0,1
35,-529.4861608679639,770.9403352585505,0,40,0,1
36,-232.5129161849036,714.687631021312,0,40,0,1
37,-631.2340192788106,987.4856308716408,0,40,0,1
38,-209.32423290191218,634.8088862677396,0,40,0,1
39,-168.24419426269014,626.6904905333649,0,40,0,1
40,-286.19655783710186,775.0360663459287,0,40,0,1
41,-163.27658074095962,901.8906130869582,0,40,0,1
42,-105.801932571223,586.7177414051548,0,40,0,1
43,-27.743472969188588,486.3294313730148,0,40,0,1
44,-542.7165921568521,890.1797467793513,0,40,0,1
45,-488.3698733600322,721.5089105034131,0,40,0,1
46,-372.69821396129555,953.4749074501451,0,40,0,1
47,-673.094340442447,949.1986462272762,0,40,0,1
48,-488.7241083311965,837.0896733564441,0,40,0,1
49,-340.95571332849795,726.9193316552846,0,40,0,1
50,-529.8659055729513,977.8297627786233,0,40,0,1
51,-506.8638374772563,749.6166326085222,0,40,0,1
52,-121.11504479049472,670.9961582259275,0,40,0,1
53,-220.42053788655903,905.4911492216052,0,40,0,1
54,-709.2432442805439,1070.458750395279,0,40,0,1
55,335.83628759742714,498.6701255526277,0,40,0,1
56,15.621607422770467,633.6914945409226,0,40,0,1
57,-474.00881765948725,1050.915535210952,0,40,0,1
58,-129.00769053847762,805.1451568468474,0,40,0,1
59,-714.4578217492672,781.1411778730399,0,40,0,1
60,-758.483563028567,1090.7186033167818,0,40,0,1
61,-139.76779934292426,823.8192960029119,0,40,0,1
62,-28.903931990964338,674.3835876186786,0,40,0,1
63,-573.1085987684783,689.0716216668079,0,40,0,1
64,-117.45349829440238,775.6598278961028,0,40,0,1
65,-891.3229024658212,891.3229024658212,0,40,0,1
66,215.88297789293574,603.8960422313248,0,40,0,1
67,-189.17815218964824,1004.5531165670254,0,40,0,1
68,-875.9532546995615,1256.81730835879,0,40,0,1
69,139.19225063134218,663.0321585353813,0,40,0,1
70,-309.9543018875411,1085.5242842123844,0,40,0,1
71,-201.45788155397167,863.1355783559848,0,40,0,1
72,-390.4812484278518,1222.2535934117623,0,40,0,1
73,-43.280136545043206,493.76536533716717,0,40,0,1
74,-625.0144758131355,1051.573110292171,0,40,0,1
75,-5.7979627652675845,612.2179202853586,0,40,0,1
76,-607.7891231046524,682.8598601772392,0,40,0,1
77,-333.15039634658024,946.7915868032433,0,40,0,1
78,125.55224042228656,615.1204741800029,0,40,0,1
79,-49.31288685914478,763.7442164590757,0,40,0,1
80,-480.2851999664272,891.0159555624123,0,40,0,1
81,-710.3358273751801,999.0289115443302,0,40,0,1
82,-871.7509115081048,1127.9933889237,0,40,0,1
83,-215.3950933436863,644.392946539796,0,40,0,1
84,-627.5820129703789,912.817291065614,0,40,0,1
85,215.68360712376307,680.9235596086364,0,40,0,1
86,-416.4861184860347,884.0094047200982,0,40,0,1
87,-453.792740014469,858.3803232883802,0,40,0,1
88,-124.77901344327256,445.6568120160664,0,40,0,1
89,-17.201791616738774,520.0141625309188,0,40,0,1
90,-445.57545290209237,841.1045912836271,0,40,0,1
91,-211.39756665658206,786.2026570294984,0,40,0,1
92,394.2224403998989,699.0253401102382,0,40,0,1
93,-114.65039387205616,711.4203417823301,0,40,0,1
