session_id,final_pnl,max_drawdown,max_position_osmium,max_position_pepper,trades_osmium,trades_pepper
0,-412.3925340118003,952.5874646866578,0,80,0,4
1,-1381.581341342826,1403.9151897171396,0,80,0,4
2,-1564.8948408098076,1620.257146577409,0,80,0,4
3,-171.8167123729363,657.535902420932,0,80,0,4
4,-325.18734264938394,1350.1833780343295,0,80,0,4
5,842.2032932552975,697.3691462072893,0,80,0,4
6,-554.2366175789502,841.949880317261,0,80,0,4
7,-1160.7132546292269,1682.8760782203753,0,80,0,4
8,-468.9540437213727,907.8330828119651,0,80,0,4
9,-527.0359582400997,1049.681365004275,0,80,0,4
10,-250.20597130036913,975.1428039467428,0,80,0,4
11,-86.06335463514552,1227.9563467676635,0,80,0,4
12,-915.2114646572736,1103.7678821024601,0,80,0,4
13,-612.6365416645422,1325.1136413234053,0,80,0,4
14,458.00578718818724,1446.910826259409,0,80,0,4
15,-1169.5292651683558,1284.6027832136024,0,80,0,4
16,150.49275059165666,1001.6847272895975,0,80,0,4
17,217.34931794222211,668.3539347847691,0,80,0,4
18,101.23715894675115,845.2837687340216,0,80,0,4
19,-1841.7404875779175,2113.5515915650176,0,80,0,4
20,-81.10360842029331,907.9384229941643,0,80,0,4
21,-958.3999269450433,1280.2469161495683,0,80,0,4
22,582.6042433913099,798.2411816130625,0,80,0,4
23,-1192.4410343480995,1748.4272440008353,0,80,0,4
24,-494.6510121378233,956.9977496826323,0,80,0,4
25,-384.563053221209,1080.618935415987,0,80,0,4
26,383.25604184385156,706.460916184762,0,80,0,4
27,-662.9172732566949,1217.9757016958902,0,80,0,4
28,-355.6576299974695,1008.1236293844995,0,80,0,4
29,325.82687103608623,1215.0107663047966,0,80,0,4
30,537.8819078945089,1119.3354562774766,0,80,0,4
31,-1305.5804746228969,1523.4277981721098,0,80,0,4
32,-1096.6194971064106,1911.0486782726366,0,80,0,4
33,-303.7546853047097,955.202827050467,0,80,0,4
34,-1083.201136922231,1815.9982336125686,0,80,0,4
35,-989.7902887183591,1446.7909196310793,0,80,0,4
36,-22.237080335384235,1429.375262042624,0,80,0,4
37,-871.1170941133751,1183.2551146309706,0,80,0,4
38,-337.5897010207409,1269.6177725354792,0,80,0,4
39,-912.2814978099777,1253.3809810667299,0,80,0,4
40,356.19546173809795,722.8054175275611,0,80,0,4
41,-885.1681445169961,1252.8315705638379,0,80,0,4
42,-122.3468036269187,1123.7648302081507,0,80,0,4
43,291.5079613325652,603.959683341498,0,80,0,4
44,-977.0369989075698,1076.6609082882642,0,80,0,4
45,-1227.044566753204,1443.0178210068261,0,80,0,4
46,-1236.7998791314894,1478.1658393423422,0,80,0,4
47,-1451.7438335537445,1698.6285413110163,0,80,0,4
48,224.44027474621544,734.2166093124542,0,80,0,4
49,362.6488628674415,741.626983787166,0,80,0,4
