name,category,final_pnl,pnl_osmium,pnl_pepper,max_drawdown,sharpe,sortino,calmar,trade_count
imc_day_-2,imc,80389.0,4905.0,75484.0,1676520.0,0.0020680725572357903,0.0022367977866198734,0.047949920072531196,256
imc_day_-1,imc,82273.0,7137.0,75136.0,1737232.0,0.002099620032893909,0.00224835027616382,0.047358671726056165,340
imc_day_0,imc,80091.0,5712.0,74379.0,1840280.0,0.0019707569344001447,0.0020843768848148006,0.04352109461603669,320
av_COFFEE_d0,real,-818.0,-818.0,0.0,8023.0,-0.021201296979818592,-0.04128082340919407,-0.10195687398728655,42
av_COFFEE_d3,real,2265.0,2265.0,0.0,8156.0,0.5327739476272825,1.0824451359916996,0.27770966159882293,119
av_COFFEE_d8,real,3969.0,3969.0,0.0,8070.0,0.881330399645317,1.8128204308315345,0.49182156133828997,47
av_CORN_d11,real,-971.0,-971.0,0.0,7996.0,-0.1375816102964558,-0.2820134907036791,-0.12143571785892947,34
av_CORN_d6,real,5157.0,5157.0,0.0,7985.0,1.1529612975864723,2.3745104678658664,0.6458359423919849,30
av_COTTON_d1,real,-5384.0,-5384.0,0.0,8190.0,-1.086774113372586,-2.2220776093607353,-0.6573870573870574,41
av_COTTON_d4,real,2960.0,2960.0,0.0,8055.0,0.7286884013891451,1.4738724515351271,0.3674736188702669,20
av_COTTON_d9,real,8258.0,8258.0,0.0,8039.0,1.7932976261908131,3.648793901721343,1.027242194302774,74
av_SUGAR_d2,real,1321.0,1321.0,0.0,8087.0,0.34900923343879575,0.7245591814513009,0.16334858414739706,38
av_SUGAR_d7,real,-748.0,-748.0,0.0,8044.0,0.024823709003980315,0.05083565751179148,-0.09298856290402785,17
av_WHEAT_d10,real,702.0,702.0,0.0,8028.0,0.25850258600156145,0.5257215513370477,0.08744394618834081,99
av_WHEAT_d5,real,4833.0,4833.0,0.0,8069.0,1.1855052188642743,2.4753573493585135,0.5989589788077829,43
yf_ADM_d0,real,-621.0,-621.0,0.0,8044.0,-0.04627576795026828,-0.0942918826160999,-0.07720039781203382,43
yf_ADM_d13,real,2960.0,2960.0,0.0,8055.0,0.7286884013891451,1.4738724515351271,0.3674736188702669,20
yf_ADM_d5,real,4958.0,4958.0,0.0,8037.0,1.1359862392107747,2.2645509403453117,0.6168968520592261,19
yf_BGS_d0,real,-818.0,-818.0,0.0,8023.0,-0.021201296979818592,-0.04128082340919407,-0.10195687398728655,42
yf_BGS_d13,real,200.0,200.0,0.0,8100.0,0.09716780249648566,0.2000314062372905,0.024691358024691357,101
yf_BGS_d5,real,3851.0,3851.0,0.0,8070.0,0.880835612180862,1.7876602098483194,0.47719950433705083,17
yf_MKC_d0,real,-949.0,-949.0,0.0,8045.0,-0.061919083269713675,-0.12352335261508836,-0.11796146674953387,113
yf_MKC_d13,real,702.0,702.0,0.0,8028.0,0.25850258600156145,0.5257215513370477,0.08744394618834081,99
yf_MKC_d5,real,4501.0,4501.0,0.0,8048.0,0.9924849858393828,2.052037468733829,0.5592693836978131,44
yf_ZC_F_d0,real,-105.0,-105.0,0.0,7872.0,0.040629603280582516,0.08098390014749883,-0.013338414634146341,127
yf_ZC_F_d13,real,-690.0,-690.0,0.0,7972.0,-0.008707765014303155,-0.018135365363299488,-0.0865529352734571,17
yf_ZC_F_d5,real,-592.0,-592.0,0.0,8053.0,-0.06627866560634756,-0.136061437804554,-0.07351297653048554,41
